% Model,NMC-Graphit.mph
% Version,COMSOL 5.2.1.152
% Date,"Jun 19 2017, 15:21"
% Table,Table 1 - Point Evaluation 1 (v)
% Time (s),"v (V), Point: 4"
0,3.6846936423516925
5,3.6733900801180783
10,3.668276329133464
15,3.6645419573984133
20,3.6613410263301565
25,3.6586866216951113
30,3.6562648101549704
35,3.6540587154623525
40,3.652173546441101
45,3.65028837741985
50,3.648486062390625
55,3.6468528721620017
60,3.6452196819333786
65,3.6437130905964206
70,3.6423531688638606
75,3.6409932471313002
80,3.6396333253987403
85,3.6382734036661804
90,3.6369134819336204
95,3.6356863813626665
100,3.6345078589976696
105,3.633329336632672
110,3.6321508142676753
115,3.630972291902678
120,3.6297939145986384
125,3.628743828998901
130,3.627693743399164
135,3.626643657799427
140,3.6255935721996897
145,3.6245434865999524
150,3.623503952145199
155,3.622501205448767
160,3.6215114797114603
165,3.620534774933279
170,3.619571091114223
175,3.618620428254293
180,3.617682786353488
185,3.6167581654118086
190,3.615846565429255
195,3.6149479864058267
200,3.6140624283415237
205,3.6131898912363467
210,3.6123248663724414
215,3.6114705480373415
220,3.6106281392580644
225,3.6097976400346106
230,3.60897905036698
235,3.6081723702551725
240,3.6073775996991877
245,3.606594738699026
250,3.6058237872546868
255,3.6050647453661715
260,3.604317613033479
265,3.6035731954184933
270,3.6028202583611795
275,3.6020747265904576
280,3.6013366001063267
285,3.600605878908788
290,3.599882562997841
295,3.599166652373485
300,3.598458147035721
305,3.597757046984549
310,3.597063352219968
315,3.596377062741979
320,3.595698178550582
325,3.5950266996457763
330,3.594362626027563
335,3.5937059576959407
340,3.59305669465091
345,3.592414836892471
350,3.5917803844206238
355,3.5911533372353683
360,3.5905336953367044
365,3.589921458724632
370,3.5893166273991515
375,3.5887192013602625
380,3.5881184894781613
385,3.5875089630603036
390,3.5869046688193817
395,3.5863056067553964
400,3.5857117768683477
405,3.585123179158235
410,3.584539813625059
415,3.5839616802688186
420,3.583388779089515
425,3.5828211100871474
430,3.582258673261716
435,3.5817014686132214
440,3.5811494961416623
445,3.58060275584704
450,3.5800612477293536
455,3.5795249717886035
460,3.5789939280247904
465,3.5784681164379126
470,3.577947537027972
475,3.577432189794967
480,3.576922074738899
485,3.5764171918597665
490,3.5759175411575703
495,3.575412083492847
500,3.574899273990536
505,3.5743898006424546
510,3.573883663448603
515,3.573380862408981
520,3.572881397523589
525,3.5723852687924262
530,3.571892476215493
535,3.5714030197927897
540,3.5709168995243163
545,3.570434115410072
550,3.5699546674500575
555,3.569478555644273
560,3.5690057799927177
565,3.5685363404953927
570,3.568070237152297
575,3.5676074699634306
580,3.5671480389287944
585,3.5666919440483875
590,3.5662391853222104
595,3.565789762750263
600,3.5653436763325455
605,3.5649009260690567
610,3.5644544837686922
615,3.5640053163925227
620,3.563558440942894
625,3.563113857419806
630,3.5626715658232593
635,3.5622315661532538
640,3.5617938584097892
645,3.5613584425928653
650,3.5609253187024827
655,3.560494486738641
660,3.5600659467013402
665,3.559639698590581
670,3.5592157424063626
675,3.5587940781486846
680,3.5583747058175486
685,3.5579576254129535
690,3.557542836934899
695,3.5571303403833854
700,3.5567201357584133
705,3.556312223059982
710,3.5559066022880916
715,3.5555032734427425
720,3.5551022365239344
725,3.554698923065318
730,3.5542949336417053
735,3.5538926385299905
740,3.5534920377301744
745,3.553093131242257
750,3.5526959190662377
755,3.552300401202116
760,3.5519065776498935
765,3.551514448409569
770,3.551124013481143
775,3.5507352728646153
780,3.550348226559986
785,3.5499628745672553
790,3.5495792168864226
795,3.5491972535174883
800,3.5488169844604527
805,3.548438409715315
810,3.5480615292820756
815,3.5476863431607355
820,3.547312851351293
825,3.546941053853749
830,3.5465709506681034
835,3.546202541794356
840,3.5458326767961346
845,3.5454629897094843
850,3.545094629074429
855,3.54472759489097
860,3.5443618871591047
865,3.5439975058788353
870,3.543634451050161
875,3.543272722673082
880,3.5429123207475977
885,3.5425532452737087
890,3.542195496251415
895,3.541839073680716
900,3.541483977561613
905,3.541130207894105
910,3.5407777646781917
915,3.5404266479138733
920,3.540076857601151
925,3.539728393740023
930,3.5393812563304903
935,3.539035445372553
940,3.538690960866211
945,3.538347802811464
950,3.5380059712083125
955,3.5376630677748584
960,3.5373206637549077
965,3.536979333460975
970,3.536639076893059
975,3.536299894051161
980,3.5359617849352802
985,3.535624749545417
990,3.5352887878815715
995,3.534953899943743
1000,3.534620085731932
1005,3.5342873452461387
1010,3.5339556784863624
1015,3.533625085452604
1020,3.533295566144863
1025,3.532967120563139
1030,3.5326397487074326
1035,3.5323134505777434
1040,3.531988226174072
1045,3.531664075496418
1050,3.5313409985447817
1055,3.5310189953191626
1060,3.530698065819561
1065,3.530378210045977
1070,3.530055994501095
1075,3.529734056320549
1080,3.52941286238255
1085,3.529092412687097
1090,3.5287727072341903
1095,3.5284537460238297
1100,3.5281355290560157
1105,3.5278180563307475
1110,3.5275013278480256
1115,3.5271853436078504
1120,3.526870103610221
1125,3.526555607855138
1130,3.5262418563426015
1135,3.525928849072611
1140,3.5256165860451665
1145,3.5253050672602684
1150,3.524994292717917
1155,3.5246842624181114
1160,3.524374976360852
1165,3.524066434546139
1170,3.5237586369739717
1175,3.523451583644351
1180,3.523145274557277
1185,3.5228397097127493
1190,3.5225348891107675
1195,3.522230812751332
1200,3.5219274806344427
1205,3.5216248927600993
1210,3.5213230491283025
1215,3.521021949739052
1220,3.520721594592348
1225,3.52042198368819
1230,3.520123117026578
1235,3.5198249946075126
1240,3.5195276164309934
1245,3.51923098249702
1250,3.5189350928055934
1255,3.518639947356713
1260,3.5183455461503788
1265,3.51805188918659
1270,3.5177589764653483
1275,3.517466807986653
1280,3.5171753837505033
1285,3.5168847037569004
1290,3.5165947680058434
1295,3.5163051668896688
1300,3.516001274044318
1305,3.5156974668209418
1310,3.5153937452195394
1315,3.51509010924011
1320,3.5147865588826552
1325,3.5144830941471734
1330,3.5141797150336656
1335,3.5138764215421316
1340,3.513573213672571
1345,3.5132700914249844
1350,3.5129670547993714
1355,3.5126641037957325
1360,3.5123612384140666
1365,3.512058458654375
1370,3.5117557645166566
1375,3.5114531560009126
1380,3.5111506331071416
1385,3.5108481958353446
1390,3.5105458441855215
1395,3.510243578157672
1400,3.5099413977517964
1405,3.5096393029678943
1410,3.509337293805966
1415,3.509035370266011
1420,3.50873353234803
1425,3.508431780052023
1430,3.508130113377989
1435,3.50782853232593
1440,3.5075270368958433
1445,3.5072256270877316
1450,3.5069243029015924
1455,3.506623064337427
1460,3.5063219113952364
1465,3.5060208440750187
1470,3.5057198623767754
1475,3.505418966300505
1480,3.505118155846209
1485,3.504817431013886
1490,3.504516791803537
1495,3.504216238215162
1500,3.5039157702487604
1505,3.5036153879043326
1510,3.5033150911818787
1515,3.5030148800813983
1520,3.502714754602892
1525,3.5024052019362757
1530,3.502050597614443
1535,3.5016937635094822
1540,3.501334699621393
1545,3.500973405950175
1550,3.500609882495828
1555,3.500244129258353
1560,3.499876146237749
1565,3.499505933434017
1570,3.499133490847156
1575,3.4987588184771656
1580,3.4983819163240475
1585,3.4980027843878005
1590,3.4976214226684252
1595,3.4972378311659207
1600,3.4968520098802878
1605,3.4964639588115265
1610,3.4960736779596364
1615,3.4956811673246175
1620,3.4952864269064707
1625,3.4948894567051947
1630,3.4944902567207903
1635,3.494088826953257
1640,3.4936851674025955
1645,3.493279278068805
1650,3.4928711589518864
1655,3.492460810051839
1660,3.4920482313686625
1665,3.491633422902358
1670,3.4912163846529247
1675,3.4907971166203624
1680,3.490375618804672
1685,3.489951891205853
1690,3.4895259338239053
1695,3.4890977466588287
1700,3.4886673297106237
1705,3.4882346829792903
1710,3.487799806464828
1715,3.4873627001672367
1720,3.4869233640865174
1725,3.4864817982226697
1730,3.4860380025756927
1735,3.4855919771455874
1740,3.4851437219323533
1745,3.4846932369359913
1750,3.4842405221565
1755,3.4837812291166705
1760,3.4833104954385425
1765,3.482836961159702
1770,3.482360626280148
1775,3.4818814907998816
1780,3.4813995547189025
1785,3.4809148180372103
